ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;;;;;;
48236;;;;;;;;x;;Das Blut was du gespendet hast \n könnte jetzt gerade in jemandes Ständer sein ;Das Blut das du gespendet hast könnte jetzt in jemandes Ständer sein;;;;;;;
48792;;;;x;A1: x A2: ;;;;x;Hinterlässt einen Pfad des Todes und der Zerstörung;Hinterlässt eine Spur von Tot und Zerstörung;;;;;;;
48973;;A1: x A2: ;A1: x A2: ;;;;;;x;Er beschützt er greift an \n er zerstört die Luftröhre;Er verteidigt er attackiert \n er lässt die Luftröhre kaputt gehen;;;;;;;
53046;;A1: x A2: ;A1:  A2: x;x;;;A1:  A2: x;;A1: x A2: ;Du hast von Elfe auf dem Regal gehört auf, jetzt mach dich gefasst auf;Du hast schon vom Elfen auf dem Regal gehört, jetzt mach dich bereit für ;;;;;;;
56980;;;;;A1: x A2: ;;A1: x A2: ;A1:  A2: x;;Kaffee hilft nicht \n hol die Startkabel;Kaffee hilft nicht \n hol das Starthilfekabel;;;;;;;
57621;;;A1: x A2: ;;;;;;x;Wenn das 1k likes bekommt \n werde ich posten wie Islam wir Muslime sehen \n wie Muslime uns sehen;Wenn das 1000 Likes bekommt \n poste ich dem Islam wie Muslime sehen \n wie Muslime und sehen.;;;;;;;
61872;;;;A1:  A2: x;;;;;x;Sei kein Idiot, es ist eine Bombe;Sei kein Dummkopf, es ist eine Bombe;A1: x A2: ;;;;;;
61973;x;;;;;;x;;;Was haben Alkoholiker und Nekrophile gemeinsam \n Beide öffnen gerne was kühles;Was haben Alkoholiker \n und Nekrophile \n gemein \n Sie beiden haben gern \n was Kaltes;A1: x A2: ;;;;;;
63745;;;;x;;;;;x;Wir hätten alle zerstören können \n aber wir haben ein paar überleben lassen, damit ihr wisst warum wir es getan haben;Wir könnten sie alle vernichten \n aber lasst ein paar von Ihnen überleben sodass man weiß warum wir es getan haben;x;;;;;;
64125;;;;;;;;x;;Oof. Das muss weh tun;Uuuf. Das tat weh.;;;;;;;
64312;;;;A1:  A2: x;;;;;x;Nein, das ist nicht seine Tochter..Das ist seine Frau!\n Und trotzdem ist die Welt still;Nein, das ist nicht seine Tochter ... \n das ist seine Frau! \n Dennoch schweigt die Welt ...;A1:  A2: x;;;;;;
67082;;;;A1: x A2: ;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;"""Erster Tag der vierten Klasse an der Sandy Hook Grundschule""";Erster Tag der 4ten Klasse an der Sandy Hook Grundschule;x;;;;;;
68452;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;;;;x;Ich werde dein Gesicht in einen Teig packen \n und Gorilla Kekse machen;Ich tu dein Gesicht in Teig und mach Gorilla Cookies draus;;;;;;;
68530;x;;;;;;;;x;Ein schneller Sandwichmaker;Ein schneller Sandwichmaker;x;;;;;;
69150;;;;;;;x;;;White Privilege \n Das Privileg von anderen Rassist genannt zu werden, die nichts anderes von dir sehen als die Farbe deiner Haut;"""White Privilege"" \n Das Privileg als ""Rassist"" bezeichnet zu werden \n von anderen Menschen, die nichts anderes an dir sehen \n außer deiner Hautfarbe";;;;;;;
71680;;;;A1:  A2: x;;;;;x;Muslimischer Stripclub;Muslimischer Stripclub;x;;;;;;
72048;;;;A1:  A2: x;;;;;x;Beeil dich, Barack wird bald zuhause sein;Beeil dich, Barack kommt gleich nachhause;A1:  A2: x;;;;;;
72061;x;;;x;;;;;x;Ich mag meinen Reis \n knusprig bitte;Ich will meinen Reis \n knusprig bitte;x;;;;;;
74253;;;;;;;;;x;Die nächste Generation so;Die nächste Generation so;;;;;;;
74350;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Eine Kopfwindel wird gebraucht \n wenn du Scheiße statt Hirn hast;Man braucht eine Kopfwindel \n wenn man nur Scheiße im Kopf hat;x;;;;;;
76132;;;;A1:  A2: x;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;Wir müssen \n Selbstmordattentäter stoppen;Wir müssen die \n Selbstmordbomberinnen stoppen;;;;;;;
79042;;;;;A1: x A2: ;;;x;;Die Türen zum Krematorium \n und den Gaskammern sind geschlossen;Die Tür zum Krematorium und den Gaskammern ist geschlossen;x;;;;;;
79615;;;;;A1: x A2: ;;;;x;Was Frauen denken, was Männer wollen \n Was Männer wirklich wollen;Was Frauen glauben was Männer wollen \n was sie wirklich wollen;;;;;;;
82437;;;;A1:  A2: x;;;;;x;Wir sollten vom Meer lernen wie man Flüchtlinge behandelt;Wir sollten vom Ozean lernen wie man Flüchtlinge behandelt;x;;;;;;
83954;;;;;;;;x;;Direktoren bekommen die Macht die Burka zu in englischen Schulen zu verbieten. Teile wenn du ein komplettes Verbot in England willst!;Schulleiter mit der Macht die Burka in Britischen weiterführenden Schulen zu verbieten teilt wenn ihr ein volles Verbot in Britannien wollt!;;;;;;;
84756;;;;A1:  A2: x;;;;A1: x A2: ;A1:  A2: x;Wenn du das Kind, das ständig im Unterricht fehlt, fragst warum er eine Glatze hat und er anfängt zu weinen \n Alles klar. Dann behalt dein Geheimnis;Wenn du das Kind, was oft den Unterricht verpasst fragst \n warum es eine Glatze hat und es anfängt zu weinen \n OK. Dann \n behalt doch deine Geheimnisse;;;;;;;
85237;;;;;;;;A1:  A2: x;A1: x A2: ;Das sind alles Waffen von ISIS, die beschlagnahmt wurden;Das sind all die Waffen die wir von ISIS beschlagnahmt haben;;;;;;;
86195;;;;x;;;;;x;Aufgetakelt und mit der Gang unterwegs wie;Aufgedonnert und mit crusend mit der Gang so;A1:  A2: x;;;;;;
89362;;;;;;;;;x;Hat ein Extra-Chromosom \n hat es vermutlich gestohlen;Hat ein Chromosom zu viel \n Wahrscheinlich gestohlen;x;;;;;;
89425;;;A1:  A2: x;;;;;x;;Hallo Schokoladen Paradies Prinzessin \n Ich bin Albert;Hallo Schokoladen-Paradies-Prinzessin \n Ich bin Albert;A1: x A2: ;;;;;;
89430;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Wenn du weißt, du musst heute Abend nicht wichsen;Wenn du weißt, dass du dir heute Nacht keinen mehr runterholen musst;;;;;;;
90465;;;;;;;;;x;Wer würde gewinnen?;Wer würde gewinnen?;;;;;;;
91586;;;;;;;;;x;Hat die Küche \n zu oft verlassen;Die Küche zu oft verlassen;x;;;;;;
94560;;;;A1: x A2: ;;;;;x;Und für mein nächstes Schulprojekt!;Und für mein nächstes Klassenprojekt!;x;;;;;;
95640;A1: x A2: ;;;;A1:  A2: x;;;;x;Syrisches Vergewaltigungsopfer macht den Mund auf ;Syrischer Vergewaltigungsopfer erhebt ihre Stimme;x;;;;;;
96472;;;;A1: x A2: ;;;;A1:  A2: x;A1: x A2: ;White Power!;White Power!;x;;;;;;
98543;A1: x A2: ;;;;A1:  A2: x;;;;x;Upper \n Downer;Upper \n Downer;x;;;;;;
10438;;;;A1:  A2: x;A1:  A2: x;;;A1: x A2: ;A1:  A2: x;Ich und die Jungs \n knien für Afrika heute Abend;Ich und die Jungs \n knien heute für Afrika;;;;;;;
10749;x;;;x;;;;x;;Mein Humor ist so schwarz \n er pflückt Baumwolle;Mein Humor ist so schwarz \n dass er Baumwolle pflückt;x;;;;;;
10785;A1:  A2: x;;;;;;;A1:  A2: x;A1: x A2: ;Zeit Panik wieder in \n Hispanisch zu packen;"Zeit die ""Panik"" \n zurück in ""Hispanik"" zu bringen";x;;;;;;
12684;;A1: x A2: ;;;A1:  A2: x;;;;x;Der originale Weg Schwarze Frauen hochzuheben;Der eigentliche Weg schwarze Hühnen aufzugabeln;;;;;;;
12834;;;A1: x A2: ;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;In Westphiladelphia geboren und aufgewachsen,\n in den Arsch die meisten Hilfsmittel bekommen;In Westphiladephia \n geboren und aufgewachsen \n im Anus ist es wo \n ich den meisten AIDS habe;;;;;;;
13026;;;;A1:  A2: x;;;;;x;Im Namen der Multikultur \n haben wir Terroristen in dieses Land gelassen;Im Namen des Multikulturalismus \n lassen wir Terroristen in unser Land;x;;;;;;
13280;;A1: x A2: ;;A1:  A2: x;A1:  A2: x;A1:  A2: x;;x;;Ich bin dabei wie ein Clown, Charlie Brown;Ich bin traurig wie ein Clown Charly Brown;;;;;;;
13647;A1: x A2: ;;;;;;;x;;Sie sagt Frauen regieren die Welt…\n Also hab ich ihr gesagt, dass sie wieder in die Küche gehen soll;Sie sagte Mädels regieren die Welt ... \n also hab ich ihr gesagt geh zurück in die \n Küche;x;;;;;;
13749;;;;;A1: x A2: ;;;;x;Es ist faszinierend wie Tierkörper \n und der menschliche Körper \n die selben Dinge tun können;Es ist unglaublich wie Tierkörper \n und Menschenkörper \n dieselben Dinge können;;;;;;;
13809;A1: x A2: ;;A1:  A2: x;x;;;;;x;Os mit dem Rauch formen;O's mit dem Rauch machen;x;;;;;;
14026;;;;;;;A1:  A2: x;A1: x A2: ;;Habe meiner Freundin gesagt, dass Mama taub ist und sie deshalb laut und langsam reden soll \n habe Mama gesagt, dass meine Freundin dumm ist;Der Freundin erzählt dass Mutter schwerhörig ist \n und sie deshalb laut und langsam sprechen soll \n Der Mutter erzählt dass \n die Freundin zurückgeblieben ist;;;;;;;
14235;;;;A1:  A2: x;A1: x A2: ;;;x;;Ruhe in Frieden \n Harambe;Ruhe in Frieden \n Harambe;;;;;;;
14389;;;;A1:  A2: x;;;;x;;Demokraten \n Wir sind neu, kühn und hassen euch! \n Alexandria Ocasio-Cortez \n Ilhan Omar \n Ayanna Pressley \n Wir hassen Weiße, Juden, Christen, Konservative, Republikaner;Demokraten \n wir sind neu, mutig und wir hassen dich! \n Alexandra Ocasio-Cortez \n Rashida Tlaib \n Ilhan Omar \n Ayanna Pressley \n Wir hassen Weiße, Juden, \n Christen, Konservative, Republikaner;;;;;;;
14672;;;;;A1: x A2: ;A1:  A2: x;;A1:  A2: x;A1: x A2: ;Asiatische Eltern so.. \n Ling Ling, Essen ist fertig;Asiatische Eltern so ... \n Klingel, Klingel, Essen ist feltig;;;;;;;
14865;;;;A1:  A2: x;;;;x;;So schlimm Hitler war, \n Er hat Sport gucken genossen;So furchtbar Hitler auch war, er hat gerne Sport gesehen;x;;;;;;
14873;A1: x A2: ;;;A1:  A2: x;;;;x;;Menschliche DNA in einem uralten Ziegenkadaver gefunden \n Wissenschaftler glauben, das ist der erste Beweis für die Existenz Mohammeds;Menschliche DNA in antikem Kadaver \n gefunden \n Wissenschaftler glauben das ist der erste Beweis \n dass Muhammad existiert hat;x;;;;;;
14975;;;;;A1: x A2: ;;;x;;Schlagen ist ein Verbrechen. \n Es ist an der Zeit, dass Menschen das verstehen;Schlagen ist ein Verbrechen. \n Zeit dass Leute das verstehen.;;;;;;;
14986;;;;x;;;;;x;Durch das Böse \n und die verloren Leben \n haben wir überlebt;Das Böse \n und die verlorenen Leben \n  haben wir überstanden;;;;;;;
15243;;;;;;;A1:  A2: x;;A1: x A2: ;4 Uhr morgens. Jeder schläft \n Perfekte Zeit um von einem Ende des Hauses zum anderen so schnell und laut wie möglich zu rennen;4 Uhr morgens Alle \n schlafen \n die beste Zeit vom einen Ende des Hauses \n zum anderen mit \n voller Geschwindigkeit so laut wie möglich zu rennen;;;;;;;
16354;;;;A1:  A2: x;;;;;x;Wir haben dieses Land übernommen! Jetzt verpiss euch! \n Wir holen es uns zurück!;Wir haben dieses Land übernommen. Jetzt verpisst euch! \n Wir holen es uns zurück;A1: x A2: ;;;;;;
16843;;;;;A1:  A2: x;;;x;;Was ist wenn wir unsere Gehirne nutzen \n um Glück zu fördern? \n Dann werden alle glücklich.;Was wäre wenn wir unseren Verstand nutzen würden \n um Glücklichsein zu fördern \n Dann wären alle glücklich;;;;;;;
16850;;A1: x A2: ;;x;;;;A1:  A2: x;A1: x A2: ;Okay okay okay \n Hier ist mein ernstes Gesicht Sehe ich schon wütend aus?;Okay okay okay \n Hier mein ernstes Gesicht \n seh ich nicht führerisch aus?;;;;;;;
17028;;;;;;;;;x;Sich langweilen, \n Lass uns zu einer Moschee gehen;Mir ist langweilig \n lass in ne Moschee gehen;x;;;;;;
17265;;;A1: x A2: ;A1:  A2: x;A1: x A2: ;;A1: x A2: ;;A1:  A2: x;Währenddessen \n in Baltimore;Derweil in Baltimore;A1:  A2: x;;;;;;
17350;;;;A1:  A2: x;;;;x;;Die Nazis hatten eine toxische Hasskultur;Die Nazis hatten eine giftige Hasskultur;;;;;;;
17950;;;A1: x A2: ;x;;;;;x;"Ich wurde ausgeschlachtet für einen harmlosen ""Tweet"" \n und ""meine Show"" wurde abgesetzt";"Ich wurde verurteilt \n wegen eines harmlosen ""Tweets"" \n und ""meine Show"" wurde abgesagt";;;;;;;
18059;A1:  A2: x;;;A1:  A2: x;;;;;x;Sie sind wie Spermien du bekommst Millionen \n aber nur einer arbeitet;Sie sind wie Spermien \n du hast Millionen \n aber nur eine funktioniert;x;;;;;;
18452;;;;A1:  A2: x;A1: x A2: ;;;x;;Anne Franks Tagebuch \n wurde zu Asche verbrannt;Das Tagebuch der Anne Frank \n wurde zu Asche verbrannt;;;;;;;
18564;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Frühes Amerika war grausam;Das frühe Amerika war bösartig;;;;;;;
19385;;A1: x A2: ;;;;A1:  A2: x;;x;;Rosen sind rot, Veilchen sind blau \n kleine, blöde Schlampe ich werde nicht mit dir ficken;Rosen sind rot \n Veilchen sind blau \n die kleine dumme Hure \n fickt dich nicht, das weißt du ganz genau;;;;;;;
19508;A1: x A2: ;;;;;;;A1:  A2: x;A1: x A2: ;Die Definition von blankem Ekel \n in schlichtem Schwarz und Weiß;Die Definition von totalem Ekel \n ist schlicht schwarz/weiß;x;;;;;;
19523;;;;;A1:  A2: x;;A1: x A2: ;A1:  A2: x;;Sie sehen sie fahren…\n Sie hassen;Sie sehen Sie fahren \n sie hassen;;;;;;;
19607;;;;;;;;;x;Das Original Derp-Gesicht;Das original Derp-Face;;;;;;;
19730;;;;A1:  A2: x;;;;;x;Jamal übt für den Sport Unterricht;Jamal übt für den Schulsport;x;;;;;;
20653;;;;;;;;x;;Manche asiatischen Länder \n essen Hunde;In einigen asiatischen Ländern \n isst man Hunde;;;;;;;
21075;;;;A1: x A2: ;;;;;x;Größe eines Shuttle Busses \n Fußraum eines Pintos;Größe von einem Bus \n Beinfreiheit von einem Pinto;;;;;;;
21567;;;;;;;;;x;Unser Vater ist ein Kartoffelfarmer;Unser Vater ist Kartoffelfarmer;;;;;;;
21763;;;A1:  A2: x;;;;A1:  A2: x;;A1: x A2: ;Anstatt deine Tränen wegzuwischen \n wische die Menschen zur Seite, die sie ausgelöst haben \n Yup lol;Anstatt deine Tränen wegzuwischen \n wisch die Leute weg die sie verursacht haben \n Jap *lol*;;;;;;;
23015;;;;;;;;;x;Wenn du zum ersten Mal gemeinsam ein Foto machst;Wenn du zum ersten Mal zusammen ein Bild machst;;;;;;;
23541;;;;;;;;A1: x A2: ;A1:  A2: x;Nur die Starken überleben;Nur die Starken überleben;;;;;;;
23645;A1: x A2: ;;;A1:  A2: x;;;;;x;Was haben sie gemeinsam? \n Du genießt es sie die Treppe runter zu schubsen;Was haben die beiden gemeinsam? \n man stößt sie gern die Treppe runter;x;;;;;;
23810;;;;;;;;;x;Das sind keine Menschen;Das sind keine Menschen;x;;;;;;
24098;;;;A1:  A2: x;;;;;x;Thanksgiving in China;Erntedankfest in China;;;;;;;
24135;;;;;;A1:  A2: x;x;;;Gute Nacht \n Halte dein Arschloch fest;Gute Nacht \n drück die Arschbacken zusammen;;;;;;;
24316;;;;;;;;;x;Haie greifen ihn nicht an, warum? \n Sie denken es ist Walscheiße;Haie greifen ihn nicht an \n warum? \n sie glauben er sei Walscheiße;x;;;;;;
24396;;;;;;;A1: x A2: ;A1:  A2: x;;Also warum sind Männer überhaupt schwul? \n Mädchen haben auch Arschlöcher, weißt du…;Also, warum sind Männer überhaupt schwul? \n Mädels haben auch Arschlöcher, weißte ...;A1: x A2: ;;;;;;
25061;;;A1:  A2: x;A1: x A2: ;;;;;x;Das ist der Vater des El Paso Angreifers. Jedes. Einzelne. Mal.;Das ist der Vater des El Paso Schützen. Jedes. verdammte. Mal.;x;;;;;;
26187;A1: x A2: ;A1:  A2: x;;;;;;;x;Ich liebe meinen Slow Cooker;Ich mag meinen Langsamkocher;A1: x A2: ;;;;;;
26453;;;;x;;;;;x;Ein zweiter Weltkrieg jüdischer Gefangener versucht den Duschen in Auschwitz zu entkommen (1943, koloriert) \n Zweiter Weltkrieg Jude entkommt Hitlers Weg(?);Ein jüdischer Gefangener im 2WK der versucht \n den Auschwitz Duschen zu entkommen \n [1943, koloriert] \n 2WK Jude entflieht Hitlers Zorn;A1: x A2: ;;;;;;
26843;;;;;;;;;x;Wir werden knien um zu beschützen \n und um gegen Unrecht zu protestieren;Wir werden knien um zu beschützen \n und um gegen Ungerechtigkeit zu protestieren;;;;;;;
26985;;;;;;;;;x;Ich habe gerade erfahren, dass meine Freundin schwanger ist;Hab grad erfahren dass meine Freundin schwanger ist;;;;;;;
27054;;A1:  A2: x;;;;;;A1: x A2: ;A1:  A2: x;Das ist ein bisschen wild \n Kleines Biest;Nun das ist ein bisschen wild \n kleiner Wilder;;;;;;;
27384;;;;;;;;A1: x A2: ;A1:  A2: x;Das Gesicht, das du machst \n wenn du ein Mobber bist und gerade von einem Mädchen zusammengeschlagen wurdest;Das Gesicht das du machst \n wenn du ein Tyrann bist \n und gerade von einem Mädchen verprügelt wurdest;;;;;;;
27543;A1: x A2: ;;;A1: x A2: ;;;;;x;Lass Ärger und Hass nicht dein Leben ruinieren. \n Nimm dir ein Beispiel an ihm;Lass Zorn und Hass nicht dein Leben ruinieren. \n Nimm ihn zum Beispiel;x;;;;;;
28905;;A1: x A2: ;;x;;A1:  A2: x;;;x;Hey, ich hab dich gerade erst getroffen \n und das ist verrückt, aber hier ist deine Nummer… So Lager, vielleicht?;Hey, ich hab dich erst getroffen \n und es ist verrückt \n aber hier ist deine Nummer \n Wie wär's mit nem Lager?;x;;;;;;
29054;x;;;;;;;;x;Kaputte Spülmaschine;Kaputte Spülmaschine;x;;;;;;
29437;;;;x;;;;;x;Was passiert wenn du 38 Jahre Wheaties isst;Was passieren \n kann wenn du \n 38 Jahre lang \n Wheaties isst;;;;;;;
29873;;;;;;;;;x;Wer wusste dass dieses Land voll White Trash ist;Wer hätte gedacht das dieses Land voll ist mit White Trash;A1:  A2: x;;;;;;
30145;;;;A1:  A2: x;;;;;x;Vor meiner Präsidentschaft gab es ISIS nicht. Es gab kein Kalifat es gab kein BLM. Es gab keine Antifa. Es gab keinen Krieg gegen die Polizei \n Ich habe das geschafft;Vor meiner Präsidentschaft\n gab es keinen IS. Es gab keinen Kalifat. \n  Es gab kein BLM. Es gab \n kein Antifa. Es gab keinen Krieg gegen die Polizei. \n Ich hab das gemacht.;;;;;;;
30148;A1: x A2: ;A1:  A2: x;;x;;;;;x;Du meinst ich muss \n es nicht erst pflücken?;Du meinst, ich muss \n es nicht pflücken?;x;;;;;;
30186;;;A1:  A2: x;;A1:  A2: x;;;x;;Such dir einen Mann, der dich niemals anrührt \n oder aus deinem Leben verschwindet;Hol dir einen Mann der niemals Hand an dich legen würde \n oder geh;;;;;;;
31702;;;;;;;;x;;Die Nazis haben Millionen Juden getötet;Die Nazis töteten Millionen von Juden;;;;;;;
31792;;;A1:  A2: x;;A1: x A2: ;;;A1: x A2: ;;Mmm…Diese Gasrechnung wird teuer;Mmmm... die Gasrechnung wird teuer;;;;;;;
32049;;;;;A1:  A2: x;;A1:  A2: x;A1: x A2: ;;deutsche, britische, dänische, österreichische Diversity.\n Scheinbar haben wir sie nicht und diese Leute haben sie: Iraker, Pakistaner, Syrer, Ägypter;Deutsche Briten Dänen Österreicher Diversität.\n Offensichtlich haben sie was wir nicht haben: Iraker, Pakistanis, Syrer, Ägypter;;;;;;;
32568;;;;A1:  A2: x;;;;x;;Amerika hat uns gelehrt wie wir glückliche Sklaven werden \n In der gleichen Weise wie Schule uns lehrt glückliche Angestellte zu werden;Amerika brachte uns bei wie man ein glücklicher Sklave ist \n genauso wie die Schule uns beibringt glückliche Angestellte zu sein;A1: x A2: ;;;;;;
32875;;;A1:  A2: x;;;;;x;;Wenn er die Nummer eins trägt \n ist er wahrscheinlich der schnellste im Team;Wenn er die Nummer eins trägt \n ist er wahrscheinlich \n der schnellste im Team;;;;;;;
