ID;Could be translated;Could not be translated;Understanding;Knowledge;Confounder;Other;None;Supporting;Need;Translation Clara;Translation Darina;Hate;Discard;;;
28017;;;;;;;;;x;Sag es! Sag es! \n Der Islam ist die Religion des Friedens;Sag es! Sag es! \n Islam ist die Religion des Friedens;x;;;;
28406;;;;;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;Wenn sie dir \n den Blick zuwirft;Wenn sie dich \n so ansieht;;;;;
28690;;;A1: x A2: ;A1:  A2: x;A1: x A2: ;;x;;;Wenn du über jemanden lästerst…\n solltest du besser sicher sein, dass derjenige nicht verrückter als du ist;Wenn du \n schlecht über jemanden redest \n versichere dich \n dass sie nicht verrückter sind als du;;A1: x A2: ;;;
28951;;A1:  A2: x;A1:  A2: x;;;;x;;;Wenn der Rand deiner Kappe flach ist und einen Sticker hat \n Gehe ich automatisch davon aus, dass du ein Idiot bist;Wenn deine Cappie-Krempe flach ist \n und einen Sticker drauf hat \n nehme ich automatisch an, \n dass du ein Loser bist;;;;;
29067;;;A1: x A2: ;;A1:  A2: x;;;;A1: x A2: ;Den Geschirrspüler mit dem Sofa blockieren \n Hervorragender Schachzug;Die Couch mit der Spülmaschine blockieren \n hervorragender Move;;;;;
29174;;;;A1:  A2: x;;;;;A1: x A2: ;Die Verbrechen gegen die Menschlichkeit \n sollen nicht schnell vergessen werden;Die Verbrechen gegen die Menschheit \n sollten nicht schnell vergessen werden;;;;;
29750;;;;;;;;;x;Diese Katze \n wird heute Abend vergewaltigt;Diese Katze \n wird heute vergewaltigt;x;;;;
29843;;x;;x;;;;A1: x A2: ;A1:  A2: x;Der am meisten gesuchte Terrorist \n Obama bin Lügen;Der meist gesuchte \n Terrorist der Welt \n Obama hat gelogen;;A1: x A2: ;;;
30478;;;A1:  A2: x;;x;;A1:  A2: x;;A1: x A2: ;Der Weißwein hat mich dazu getrieben;Der weiße Wein hat es mich tun lassen;;;;;
31208;;;;A1:  A2: x;;;;;x;Vielleicht wenn wir nicht ständig Verbrechen begehen würden \n würden wir besser behandelt werden;Wenn wir nicht eine permanente \n Kriminalitätsquelle wären \n würde man uns besser behandeln;x;;;;
31570;;;;x;;;;;x;Beschäftigt, wie ein Bienenstock, kontrollieren was deine Familie sieht und bearbeiten alle Nachrichten \n bis die ganze Wahrheit verschwunden ist, außer ihr erhebt euch, in großer Zahl;Fleißig, wie ein Bienenstock, kontrollierend was \n deine Familie sieht und alle Nachrichten bearbeitend \n bis alle Wahrheit weg ist \n das heißt, solange du stehst. En Masse.;A1: x A2: ;;;;
32579;;;;x;;;;x;;Kommt zur dunklen Seite \n wir haben Gras;Komm auf die dunkle Seite \n Wir haben Gras;;;;;
34209;x;;;x;;;;;x;Barkeeper: Wie wäre es mit einem zwölfjährigen? \n Er: Junge, das würde ich lieben;Bartender: Wie wär's mit dem schönen 12-jährigen? \n Er: Junge, das würde mir gefallen;x;;;;
34687;;x;A1:  A2: x;;A1: x A2: ;;;;x;Jeder hat Angst vor der Dunkelheit;Alle haben Angst vor dunklem;A1:  A2: x;x;;;
35174;;;;;;;;x;;Lass uns Wilderei beenden;Lasst uns die Wilderei stoppen;;;;;
35470;A1: x A2: ;;x;;;;;A1:  A2: x;A1: x A2: ;Kannst du riechen was die Hexe kocht;Kannst du riechen was die Reigh kocht?;A1: x A2: ;;;;
37692;;;A1: x A2: ;;x;;A1: x A2: ;A1:  A2: x;;"""Der Islam ist eine Religion des Friedens hör auf meine Religion zu kritisieren""";Der Islam ist eine Religion des Friedens Hört auf meine Religion zu kritisieren;;;;;
37814;;;x;A1: x A2: ;A1: x A2: ;;;;x;Das ist der Vater des Schützen von El Paso \n Jedes. Einzelne. Mal.;Das ist der Vater des El Paso Shooters \n Jedes. einzelne. Mal.;;x;;;
38076;A1: x A2: ;;;A1:  A2: x;;;;;A1: x A2: ;"""Er ist ein Squirter"" \n klingt nicht mehr ganz so sexy wenn du schwul bist";"""Er ist ein Squirter"" \n klingt nicht so sexy wenn du schwul bist";;;;;
38165;;;;A1: x A2: ;;;;A1:  A2: x;A1: x A2: ;Schwarze Demonstranten helfen einem verletzen Weißem Mann \n während einer BLM Demo;Schwarzer Demonstrant hilft einem verletzten weißen Mann \n während einer BLM Demo;;;;;
38910;;;;x;;;;x;;Oh Junge ich liebe es Muslim zu sein \n in der Stadt Christchurch in Neuseeland \n am 15. März;Oh Junge, ich find's sicher toll Moslem zu sein \n in der neuseeländischen Stadt Christchurch \n am 15. März;x;;;;
39018;;x;;;;;;x;;"Sie sagte: ""Ich will einen Ring"" \n Ich sagte: ""Dann mach dein Handy nicht leise!""";"Sie sagte ""Ich will einen Ring."" \n Ich sagte ""Dann stell dein Handy nicht lautlos, Hure!""";;x;;;
42058;;;A1: x A2: ;;x;;;A1: x A2: ;A1:  A2: x;Als Mittagessen liebt Vlad der Pfähler \n Truthahn;Zum Mittagessen hatte Vlad der Pfähler \n gerne Pute;;A1: x A2: ;;;
43175;;;;A1:  A2: x;;;;;x;Wann hast du zuletzt so viele \n geistig kranke Menschen auf der Straße gesehen?;Wann hast du das letzte Mal so viele \n psychisch kranke Menschen auf der Straße gesehen;x;;;;
43810;;x;;x;;;;;x;Wie man Truthahn in den USA kocht \n wie man Türkei in Rumänien kocht;Wie man Pute in den USA zubereitet \n Wie man die Türken in Rumänien zubereitet;A1: x A2: ;x;;;
45062;;;;x;;;;A1: x A2: ;A1:  A2: x;Ich und meine Kinder \n werden dieses Land ausrauben auf Kosten der Menschen die mich gewählt haben. Und sie werden es lieben! Glaub mir! Großartig!;Ich und meine Kinder \n werden dieses Land völlig ausnehmen auf Kosten derer, die mich gewählt haben und sie werden es lieben! Voll!;;;;;
45368;;;;x;;;;;x;Genug ist genug \n Kinder sind wichtiger als Freaks;Genug ist genug \n Kinder sind wichtiger als Missgeburten;x;;;;
45702;;;;;;;;x;;Wenn sie immer noch Geräusche macht \n hast du sie nicht hart genug geschlagen;Wenn sie immer noch Laute von sich gibt, \n hast du nicht hart genug zugeschlagen;x;;;;
46087;;;;x;;;;;x;Gib diesem Mann \n einen Selbstmord;Gebt diesem Mann einen Selbstmord;;;;;
47056;;;;;;;;A1:  A2: x;A1: x A2: ;Illegale Aliens sind nicht willkommen;Illegale Ausländer sind nicht willkommen;A1: x A2: ;;;;
48236;;;;;;;;x;;Das Blut was du gespendet hast \n könnte jetzt gerade in jemandes Ständer sein ;Das Blut das du gespendet hast könnte jetzt in jemandes Ständer sein;;;;;
48352;;;;;x;;;;A1: x A2: ;Leute müssen sich wirklich \n ein Zimmer nehmen;Leute sollten sich echt ein Zimmer nehmen;;;;;
48792;;;;x;A1: x A2: ;;;;x;Hinterlässt einen Pfad des Todes und der Zerstörung;Hinterlässt eine Spur von Tot und Zerstörung;;;;;
48973;;A1: x A2: ;A1: x A2: ;;;;;;x;Er beschützt er greift an \n er zerstört die Luftröhre;Er verteidigt er attackiert \n er lässt die Luftröhre kaputt gehen;;A1: x A2: ;;;
49521;;;A1: x A2: ;A1: x A2: ;x;;;x;;Hat irgendjemand eine Idee was man mit den Migranten tun soll?;Jemand ne Idee was man mit den Immigranten tun kann?;;;;;
51869;A1:  A2: x;A1: x A2: ;;x;;;;;x;Verschiedene Arten an Stationen;Verschiedene Arten von Gas Stationen;A1: x A2: ;x;;;
53046;;A1: x A2: ;A1:  A2: x;x;;;A1:  A2: x;;A1: x A2: ;Du hast von Elfe auf dem Regal gehört auf, jetzt mach dich gefasst auf;Du hast schon vom Elfen auf dem Regal gehört, jetzt mach dich bereit für ;;A1: x A2: ;;;
54730;;;A1: x A2: ;;x;;;x;;Gas, Gas, Gas, du musst aufs Gas treten;Gas, Gas, Gas Du musst Gas geben;;A1: x A2: ;;;
56980;;;;;A1: x A2: ;;A1: x A2: ;A1:  A2: x;;Kaffee hilft nicht \n hol die Startkabel;Kaffee hilft nicht \n hol das Starthilfekabel;;;;;
57621;;;A1: x A2: ;;;;;;x;Wenn das 1k likes bekommt \n werde ich posten wie Islam wir Muslime sehen \n wie Muslime uns sehen;Wenn das 1000 Likes bekommt \n poste ich dem Islam wie Muslime sehen \n wie Muslime und sehen.;;A1: x A2: ;;;
57643;;;;;x;;;;x;Sieh dir die größe meines neuen Fernsehers im Verhältnis zu meinem Geschirrspüler an;Sieh dir die Größe meines neuen Fernsehers im Vergleich zu meinem Geschirrspüler an!;;;;;
58726;;A1:  A2: x;A1: x A2: ;;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;Es ist Höcker Tag!!!\n Oh mist!!!;Es ist Bums Tag!!! \n Oh Mist!!!!;;x;;;
61048;;;;;x;;;;x;Pakistaner in jeder indischen Zeitung;Pakistanis in jedem indischen Buch;;;;;
61872;;;;A1:  A2: x;;;;;x;Sei kein Idiot, es ist eine Bombe;Sei kein Dummkopf, es ist eine Bombe;A1: x A2: ;;;;
61973;x;;;;;;x;;;Was haben Alkoholiker und Nekrophile gemeinsam \n Beide öffnen gerne was kühles;Was haben Alkoholiker \n und Nekrophile \n gemein \n Sie beide haben gern \n was Kaltes;A1: x A2: ;;;;
63745;;;;x;;;;;x;Wir hätten alle zerstören können \n aber wir haben ein paar überleben lassen, damit ihr wisst warum wir es getan haben;Wir könnten sie alle vernichten \n aber lasst ein paar von Ihnen überleben sodass man weiß warum wir es getan haben;x;;;;
64125;;;;;;;;x;;Oof. Das muss weh tun;Uuuf. Das tat weh.;;;;;
64312;;;;A1:  A2: x;;;;;x;Nein, das ist nicht seine Tochter..Das ist seine Frau!\n Und trotzdem ist die Welt still;Nein, das ist nicht seine Tochter ... \n das ist seine Frau! \n Dennoch schweigt die Welt ...;A1:  A2: x;;;;
67082;;;;A1: x A2: ;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;"""Erster Tag der vierten Klasse an der Sandy Hook Grundschule""";Erster Tag der 4ten Klasse an der Sandy Hook Grundschule;x;;;;
68452;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;;;;x;Ich werde dein Gesicht in einen Teig packen \n und Gorilla Kekse machen;Ich tu dein Gesicht in Teig und mach Gorilla Cookies draus;;A1: x A2: ;;;
68530;x;;;;;;;;x;Ein schneller Sandwichmaker;Ein schneller Sandwichmaker;x;;;;
69150;;;;;;;x;;;White Privilege \n Das Privileg von anderen Rassist genannt zu werden, die nichts anderes von dir sehen als die Farbe deiner Haut;"""White Privilege"" \n Das Privileg als ""Rassist"" bezeichnet zu werden \n von anderen Menschen, die nichts anderes an dir sehen \n außer deiner Hautfarbe";;;;;
71680;;;;A1:  A2: x;;;;;x;Muslimischer Stripclub;Muslimischer Stripclub;x;;;;
72048;;;;A1:  A2: x;;;;;x;Beeil dich, Barack wird bald zuhause sein;Beeil dich, Barack kommt gleich nachhause;A1:  A2: x;;;;
72061;x;;;x;;;;;x;Ich mag meinen Reis \n knusprig bitte;Ich will meinen Reis \n knusprig bitte;x;;;;
74253;;;;;;;;;x;Die nächste Generation so;Die nächste Generation so;;;;;
74350;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Eine Kopfwindel wird gebraucht \n wenn du Scheiße statt Hirn hast;Man braucht eine Kopfwindel \n wenn man nur Scheiße im Kopf hat;x;;;;
76132;;;;A1:  A2: x;A1: x A2: ;;;A1: x A2: ;A1:  A2: x;Wir müssen \n Selbstmordattentäter stoppen;Wir müssen die \n Selbstmordbomberinnen stoppen;;;;;
78945;;A1: x A2: ;;;A1:  A2: x;;;A1: x A2: ;A1:  A2: x;Du nennst mich einen Terroristen aber identifizierst dich als Feuerwerk;Du nennst mich Terrorist, aber ich seh mich als Silvesterknaller;;x;;;
79042;;;;;A1: x A2: ;;;x;;Die Türen zum Krematorium \n und den Gaskammern sind geschlossen;Die Tür zum Krematorium und den Gaskammern ist geschlossen;x;;;;
79615;;;;;A1: x A2: ;;;;x;Was Frauen denken, was Männer wollen \n Was Männer wirklich wollen;Was Frauen glauben was Männer wollen \n was sie wirklich wollen;;;;;
82437;;;;A1:  A2: x;;;;;x;Wir sollten vom Meer lernen wie man Flüchtlinge behandelt;Wir sollten vom Ozean lernen wie man Flüchtlinge behandelt;x;;;;
83954;;;;;;;;x;;Direktoren bekommen die Macht die Burka zu in englischen Schulen zu verbieten. Teile wenn du ein komplettes Verbot in England willst!;Schulleiter mit der Macht die Burka in Britischen weiterführenden Schulen zu verbieten teilt wenn ihr ein volles Verbot in Britannien wollt!;;;;;
84756;;;;A1:  A2: x;;;;A1: x A2: ;A1:  A2: x;Wenn du das Kind, das ständig im Unterricht fehlt, fragst warum er eine Glatze hat und er anfängt zu weinen \n Alles klar. Dann behalt dein Geheimnis;Wenn du das Kind, was oft den Unterricht verpasst fragst \n warum es eine Glatze hat und es anfängt zu weinen \n OK. Dann \n behalt doch deine Geheimnisse;;;;;
85237;;;;;;;;A1:  A2: x;A1: x A2: ;Das sind alles Waffen von ISIS, die beschlagnahmt wurden;Das sind all die Waffen die wir von ISIS beschlagnahmt haben;;;;;
86195;;;;x;;;;;x;Aufgetakelt und mit der Gang unterwegs wie;Aufgedonnert und mit crusend mit der Gang so;A1:  A2: x;;;;
86927;;;A1: x A2: ;;A1:  A2: x;;;x;;Planet der Affen als Sci-Fi Klassiker;Planet der Affen ist ein Sci-Fi Klassiker;;x;;;
89362;;;;;;;;;x;Hat ein Extra-Chromosom \n hat es vermutlich gestohlen;Hat ein Chromosom zu viel \n Wahrscheinlich gestohlen;x;;;;
89425;;;A1:  A2: x;;;;;x;;Hallo Schokoladen Paradies Prinzessin \n Ich bin Albert;Hallo Schokoladen-Paradies-Prinzessin \n Ich bin Albert;A1: x A2: ;;;;
89430;;;A1:  A2: x;;;;;A1:  A2: x;A1: x A2: ;Wenn du weißt, du musst heute Abend nicht wichsen;Wenn du weißt, dass du dir heute Nacht keinen mehr runterholen musst;;;;;
90236;;;;;x;;;A1:  A2: x;A1: x A2: ;Voila! Frische Backwaren;Voilá! Eine frische Ladung Backwaren!;;;;;
90465;;;;;;;;;x;Wer würde gewinnen?;Wer würde gewinnen?;;;;;
91586;;;;;;;;;x;Hat die Küche \n zu oft verlassen;Die Küche zu oft verlassen;x;;;;
92058;;;;x;;;;;x;Wie schwarze Menschen \n Christen wurden;Wie schwarze Menschen \n Christen geworden sind;;x;;;
94560;;;;A1: x A2: ;;;;;x;Und für mein nächstes Schulprojekt!;Und für mein nächstes Klassenprojekt!;x;;;;
95086;;;A1:  A2: x;A1: x A2: ;A1:  A2: x;;A1:  A2: x;;A1: x A2: ;Novaky Konzentrationslager \n Diese Juden können Holocaustrenten beziehen;Nováki Konzentrationslager \n Diese Juden können Holocaust Rente beziehen;A1: x A2: ;x;;;
95640;A1: x A2: ;;;;A1:  A2: x;;;;x;Syrisches Vergewaltigungsopfer macht den Mund auf ;Syrischer Vergewaltigungsopfer erhebt ihre Stimme;x;;;;
96472;;;;A1: x A2: ;;;;A1:  A2: x;A1: x A2: ;White Power!;White Power!;x;;;;
98543;A1: x A2: ;;;;A1:  A2: x;;;;x;Upper \n Downer;Upper \n Downer;x;;;;
10438;;;;A1:  A2: x;A1:  A2: x;;;A1: x A2: ;A1:  A2: x;Ich und die Jungs \n knien für Afrika heute Abend;Ich und die Jungs \n knien heute für Afrika;;;;;
10749;x;;;x;;;;x;;Mein Humor ist so schwarz \n er pflückt Baumwolle;Mein Humor ist so schwarz \n dass er Baumwolle pflückt;x;;;;
10785;A1:  A2: x;;;;;;;A1:  A2: x;A1: x A2: ;Zeit Panik wieder in \n Hispanisch zu packen;"Zeit die ""Panik"" \n zurück in ""Hispanik"" zu bringen";x;A1: x A2: ;;;
10832;;;;;x;;;A1: x A2: ;A1:  A2: x;Okay, bitte sehr! \n Stück Scheiße;Okay hier hast du's, \n Stück  Scheiße;;;;;
12650;;;;A1: x A2: ;;;;;x;Wer von beiden hat ein Transenproblem?;Wer hat die Transenprobleme?;A1: x A2: ;;;;
12684;;A1: x A2: ;;;A1:  A2: x;;;;x;Der originale Weg Schwarze Frauen hochzuheben;Der eigentliche Weg schwarze Hühnen aufzugabeln;;A1: x A2: ;;;
12834;;;A1: x A2: ;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;In Westphiladelphia geboren und aufgewachsen,\n in den Arsch die meisten Hilfsmittel bekommen;In Westphiladephia \n geboren und aufgewachsen \n im Anus ist es wo \n ich den meisten AIDS habe;;A1: x A2: ;;;
12973;A1: x A2: ;;;;A1:  A2: x;;;A1:  A2: x;A1: x A2: ;Jemand hat schon wieder zu viel Seife \n zur Spülmaschine dazu getan;Jemand hat wieder zu viel Seife \n in den Geschirrspüler getan;A1: x A2: ;;;;
13026;;;;A1:  A2: x;;;;;x;Im Namen der Multikultur \n haben wir Terroristen in dieses Land gelassen;Im Namen des Multikulturalismus \n lassen wir Terroristen in unser Land;x;;;;
13280;;A1: x A2: ;;A1:  A2: x;A1:  A2: x;A1:  A2: x;;x;;Ich bin dabei wie ein Clown, Charlie Brown;Ich bin traurig wie ein Clown Charly Brown;;A1: x A2: ;;;
13647;A1: x A2: ;;;;;;;x;;Sie sagt Frauen regieren die Welt…\n Also hab ich ihr gesagt, dass sie wieder in die Küche gehen soll;Sie sagte Mädels regieren die Welt ... \n also hab ich ihr gesagt geh zurück in die \n Küche;x;;;;
13749;;;;;A1: x A2: ;;;;x;Es ist faszinierend wie Tierkörper \n und der menschliche Körper \n die selben Dinge tun können;Es ist unglaublich wie Tierkörper \n und Menschenkörper \n dieselben Dinge können;;;;;
13809;A1: x A2: ;;A1:  A2: x;x;;;;;x;Os mit dem Rauch formen;O's mit dem Rauch machen;x;;;;
14026;;;;;;;A1:  A2: x;A1: x A2: ;;Habe meiner Freundin gesagt, dass Mama taub ist und sie deshalb laut und langsam reden soll \n habe Mama gesagt, dass meine Freundin dumm ist;Der Freundin erzählt dass Mutter schwerhörig ist \n und sie deshalb laut und langsam sprechen soll \n Der Mutter erzählt dass \n die Freundin zurückgeblieben ist;;;;;
14235;;;;A1:  A2: x;A1: x A2: ;;;x;;Ruhe in Frieden \n Harambe;Ruhe in Frieden \n Harambe;;;;;
14389;;;;A1:  A2: x;;;;x;;Demokraten \n Wir sind neu, kühn und hassen euch! \n Alexandria Ocasio-Cortez \n Ilhan Omar \n Ayanna Pressley \n Wir hassen Weiße, Juden, Christen, Konservative, Republikaner;Demokraten \n wir sind neu, mutig und wir hassen dich! \n Alexandra Ocasio-Cortez \n Rashida Tlaib \n Ilhan Omar \n Ayanna Pressley \n Wir hassen Weiße, Juden, \n Christen, Konservative, Republikaner;;;;;
14672;;;;;A1: x A2: ;A1:  A2: x;;A1:  A2: x;A1: x A2: ;Asiatische Eltern so.. \n Ling Ling, Essen ist fertig;Asiatische Eltern so ... \n Klingel, Klingel, Essen ist feltig;;;;;
14865;;;;A1:  A2: x;;;;x;;So schlimm Hitler war, \n Er hat Sport gucken genossen;So furchtbar Hitler auch war, er hat gerne Sport gesehen;x;;;;
14873;A1: x A2: ;;;A1:  A2: x;;;;x;;Menschliche DNA in einem uralten Ziegenkadaver gefunden \n Wissenschaftler glauben, das ist der erste Beweis für die Existenz Mohammeds;Menschliche DNA in antikem Kadaver \n gefunden \n Wissenschaftler glauben das ist der erste Beweis \n dass Muhammad existiert hat;x;;;;
14975;;;;;A1: x A2: ;;;x;;Schlagen ist ein Verbrechen. \n Es ist an der Zeit, dass Menschen das verstehen;Schlagen ist ein Verbrechen. \n Zeit dass Leute das verstehen.;;;;;
14986;;;;x;;;;;x;Durch das Böse \n und die verloren Leben \n haben wir überlebt;Das Böse \n und die verlorenen Leben \n  haben wir überstanden;;;;;
15243;;;;;;;A1:  A2: x;;A1: x A2: ;4 Uhr morgens. Jeder schläft \n Perfekte Zeit um von einem Ende des Hauses zum anderen so schnell und laut wie möglich zu rennen;4 Uhr morgens Alle \n schlafen \n die beste Zeit vom einen Ende des Hauses \n zum anderen mit \n voller Geschwindigkeit so laut wie möglich zu rennen;;;;;
16354;;;;A1:  A2: x;;;;;x;Wir haben dieses Land übernommen! Jetzt verpiss euch! \n Wir holen es uns zurück!;Wir haben dieses Land übernommen. Jetzt verpisst euch! \n Wir holen es uns zurück;A1: x A2: ;;;;
16843;;;;;A1:  A2: x;;;x;;Was ist wenn wir unsere Gehirne nutzen \n um Glück zu fördern? \n Dann werden alle glücklich.;Was wäre wenn wir unseren Verstand nutzen würden \n um Glücklichsein zu fördern \n Dann wären alle glücklich;;;;;
16850;;A1: x A2: ;;x;;;;A1:  A2: x;A1: x A2: ;Okay okay okay \n Hier ist mein ernstes Gesicht Sehe ich schon wütend aus?;Okay okay okay \n Hier mein ernstes Gesicht \n seh ich nicht führerisch aus?;;A1: x A2: ;;;
17028;;;;;;;;;x;Sich langweilen, \n Lass uns zu einer Moschee gehen;Mir ist langweilig \n lass in ne Moschee gehen;x;;;;
17265;;;A1: x A2: ;A1:  A2: x;A1: x A2: ;;A1: x A2: ;;A1:  A2: x;Währenddessen \n in Baltimore;Derweil in Baltimore;A1:  A2: x;A1: x A2: ;;;
17350;;;;A1:  A2: x;;;;x;;Die Nazis hatten eine toxische Hasskultur;Die Nazis hatten eine giftige Hasskultur;;;;;
17950;;;A1: x A2: ;x;;;;;x;"Ich wurde ausgeschlachtet für einen harmlosen ""Tweet"" \n und ""meine Show"" wurde abgesetzt";"Ich wurde verurteilt \n wegen eines harmlosen ""Tweets"" \n und ""meine Show"" wurde abgesagt";;A1: x A2: ;;;
17963;;x;;A1: x A2: ;;;;A1:  A2: x;A1: x A2: ;Entfernt Nagellack mit Chemikalien stört niemanden \n entfernt Polen mit Chemikalien alle verlieren den Verstand;Entfernst du Lack mit Chemikalien \n zuckt keiner mit der Wimper \n entfernst du Polen mit Chemikalien \n  rasten alle aus;;A1:  A2: x;;;
18059;A1:  A2: x;;;A1:  A2: x;;;;;x;Sie sind wie Spermien du bekommst Millionen \n aber nur einer arbeitet;Sie sind wie Spermien \n du hast Millionen \n aber nur eine funktioniert;x;;;;
18452;;;;A1:  A2: x;A1: x A2: ;;;x;;Anne Franks Tagebuch \n wurde zu Asche verbrannt;Das Tagebuch der Anne Frank \n wurde zu Asche verbrannt;;;;;
18564;;;;A1:  A2: x;;;;A1:  A2: x;A1: x A2: ;Frühes Amerika war grausam;Das frühe Amerika war bösartig;;;;;
19075;;;;;x;;;;x;Wenn du Kuchen riechst;Wenn du Kuchen riechst;;A1:  A2: x;;;
19385;;A1: x A2: ;;;;A1:  A2: x;;x;;Rosen sind rot, Veilchen sind blau \n kleine, blöde Schlampe ich werde nicht mit dir ficken;Rosen sind rot \n Veilchen sind blau \n die kleine dumme Hure \n fickt dich nicht, das weißt du ganz genau;;A1: x A2: ;;;
19508;A1: x A2: ;;;;;;;A1:  A2: x;A1: x A2: ;Die Definition von blankem Ekel \n in schlichtem Schwarz und Weiß;Die Definition von totalem Ekel \n ist schlicht schwarz/weiß;x;;;;
19523;;;;;A1:  A2: x;;A1: x A2: ;A1:  A2: x;;Sie sehen sie fahren…\n Sie hassen;Sie sehen Sie fahren \n sie hassen;;A1:  A2: x;;;
19607;;;;;;;;;x;Das Original Derp-Gesicht;Das original Derp-Face;;;;;
19730;;;;A1:  A2: x;;;;;x;Jamal übt für den Sport Unterricht;Jamal übt für den Schulsport;x;;;;
20541;;;A1: x A2: ;;x;;;A1:  A2: x;A1: x A2: ;Habe mir eine Katze \n und einen Affen heute gefangen! \n Das;Hab heute eine Katze \n und einen Affen gefangen \n DAS;;x;;;
20653;;;;;;;;x;;Manche asiatischen Länder \n essen Hunde;In einigen asiatischen Ländern \n isst man Hunde;;;;;
21075;;;;A1: x A2: ;;;;;x;Größe eines Shuttle Busses \n Fußraum eines Pintos;Größe von einem Bus \n Beinfreiheit von einem Pinto;;;;;
21567;;;;;;;;;x;Unser Vater ist ein Kartoffelfarmer;Unser Vater ist Kartoffelfarmer;;;;;
21763;;;A1:  A2: x;;;;A1:  A2: x;;A1: x A2: ;Anstatt deine Tränen wegzuwischen \n wische die Menschen zur Seite, die sie ausgelöst haben \n Yup lol;Anstatt deine Tränen wegzuwischen \n wisch die Leute weg die sie verursacht haben \n Jap *lol*;;;;;
